User|Group|JobID|ReqTRES|Timelimit|Submit|NodeList|Start|End|Elapsed|State|ExitCode
|4294967294|55424572.extern|||2024-04-04T19:54:52|della-l08g5|2024-04-04T19:54:52|2024-04-04T19:57:03|00:02:11|COMPLETED|0:0
mg2332|cs|55424575|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:54:48|della-l08g5|2024-04-04T19:54:52|2024-04-04T19:57:47|00:02:55|COMPLETED|0:0
|4294967294|55424575.batch|||2024-04-04T19:54:52|della-l08g5|2024-04-04T19:54:52|2024-04-04T19:57:47|00:02:55|COMPLETED|0:0
|4294967294|55424575.extern|||2024-04-04T19:54:52|della-l08g5|2024-04-04T19:54:52|2024-04-04T19:57:47|00:02:55|COMPLETED|0:0
yanliang|astro|55424588|billing=1,cpu=1,gres/gpu=1,mem=5120M,node=1|00:55:00|2024-04-04T19:55:12|della-l08g5|2024-04-04T19:55:35|2024-04-04T20:55:54|01:00:19|TIMEOUT|0:0
|4294967294|55424588.batch|||2024-04-04T19:55:35|della-l08g5|2024-04-04T19:55:35|2024-04-04T20:55:55|01:00:20|CANCELLED|0:15
|4294967294|55424588.extern|||2024-04-04T19:55:35|della-l08g5|2024-04-04T19:55:35|2024-04-04T20:55:54|01:00:19|COMPLETED|0:0
mg2332|cs|55425296|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T20:26:14|della-l08g5|2024-04-04T20:26:42|2024-04-04T20:28:48|00:02:06|COMPLETED|0:0
|4294967294|55425296.batch|||2024-04-04T20:26:42|della-l08g5|2024-04-04T20:26:42|2024-04-04T20:28:48|00:02:06|COMPLETED|0:0
|4294967294|55425296.extern|||2024-04-04T20:26:42|della-l08g5|2024-04-04T20:26:42|2024-04-04T20:28:48|00:02:06|COMPLETED|0:0
mg2332|cs|55425443|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T20:35:27|della-l08g5|2024-04-04T20:35:59|2024-04-04T20:38:53|00:02:54|COMPLETED|0:0
|4294967294|55425443.batch|||2024-04-04T20:35:59|della-l08g5|2024-04-04T20:35:59|2024-04-04T20:38:53|00:02:54|COMPLETED|0:0
|4294967294|55425443.extern|||2024-04-04T20:35:59|della-l08g5|2024-04-04T20:35:59|2024-04-04T20:38:53|00:02:54|COMPLETED|0:0
mg2332|cs|55425482|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T20:37:36|della-l08g5|2024-04-04T20:37:52|2024-04-04T20:40:01|00:02:09|COMPLETED|0:0
