jdezoort|physics|55437178_0|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|00:59:00|2024-04-05T01:12:35|della-l08g5|2024-04-05T01:12:43|2024-04-05T01:14:24|00:01:41|COMPLETED|0:0
|4294967294|55437178_0.batch|||2024-04-05T01:12:43|della-l08g5|2024-04-05T01:12:43|2024-04-05T01:14:24|00:01:41|COMPLETED|0:0
|4294967294|55437178_0.extern|||2024-04-05T01:12:43|della-l08g5|2024-04-05T01:12:43|2024-04-05T01:14:24|00:01:41|COMPLETED|0:0
jdezoort|physics|55437491_0|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|00:59:00|2024-04-05T01:25:01|della-l08g5|2024-04-05T01:25:09|2024-04-05T02:29:18|01:04:09|TIMEOUT|0:0
|4294967294|55437491_0.batch|||2024-04-05T01:25:09|della-l08g5|2024-04-05T01:25:09|2024-04-05T02:29:19|01:04:10|CANCELLED|0:15
|4294967294|55437491_0.extern|||2024-04-05T01:25:09|della-l08g5|2024-04-05T01:25:09|2024-04-05T02:29:18|01:04:09|COMPLETED|0:0
ashwinee|ee|55440816|billing=61,cpu=16,gres/gpu=4,mem=786432M,node=1|01:00:00|2024-04-05T06:11:07|della-l08g5|2024-04-05T19:03:05|2024-04-05T19:14:00|00:10:55|COMPLETED|0:0
|4294967294|55440816.batch|||2024-04-05T19:03:05|della-l08g5|2024-04-05T19:03:05|2024-04-05T19:14:00|00:10:55|COMPLETED|0:0
|4294967294|55440816.extern|||2024-04-05T19:03:05|della-l08g5|2024-04-05T19:03:05|2024-04-05T19:14:00|00:10:55|COMPLETED|0:0
sreejank|pni|55444457|billing=6,cpu=1,gres/gpu=4,mem=81920M,node=1|00:50:00|2024-04-05T10:29:32|della-l08g5|2024-04-05T10:29:55|2024-04-05T10:35:30|00:05:35|FAILED|2:0
|4294967294|55444457.interactive|||2024-04-05T10:29:55|della-l08g5|2024-04-05T10:29:55|2024-04-05T10:35:30|00:05:35|FAILED|2:0
|4294967294|55444457.extern|||2024-04-05T10:29:55|della-l08g5|2024-04-05T10:29:55|2024-04-05T10:35:30|00:05:35|COMPLETED|0:0
mg2332|cs|55446746|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-05T12:55:11|della-l08g5|2024-04-05T12:55:49|2024-04-05T12:59:36|00:03:47|COMPLETED|0:0
|4294967294|55446746.batch|||2024-04-05T12:55:49|della-l08g5|2024-04-05T12:55:49|2024-04-05T12:59:36|00:03:47|COMPLETED|0:0
